"Course Number","Course Title","Course Catalog Code","Print on Schedule (Y/N)","Section Number","Section Title","Session Code","Year","Section Status","Section Begin Date","Section End Date","Section Credit Hours","Maximum Registration"
"ENGL132  PO","Contemporary Speculative Fiction","UG12","Y","01","","FA",2012,"O",2012-09-04,2012-12-21,1,18
"ENGL135  SC","The Satirical Imagination","UG12","Y","01","","FA",2012,"O",2012-09-04,2012-12-21,1,18
"ENGL138  PO","Henry James on Art and Society","UG12","Y","01","","FA",2012,"O",2012-09-04,2012-12-21,1,18
"ENGL143  PO","American Poetic Modernisms","UG12","Y","01","","FA",2012,"O",2012-09-04,2012-12-21,1,15
"ENGL143  SC","Victorian Novel","UG12","Y","01","","FA",2012,"O",2012-09-04,2012-12-21,1,12
"ENGL145  PO","Gothic Tradition","UG12","Y","01","","FA",2012,"O",2012-09-04,2012-12-21,1,20
"ENGL147  PO","Contemporary Critical Theory","UG12","Y","01","","FA",2012,"O",2012-09-04,2012-12-21,1,15
"ENGL148  PO","Literary Theory,Ancient & Modern","UG12","Y","01","","FA",2012,"O",2012-09-04,2012-12-21,1,20
"ENGL150  PZ","Rule Britannia","UG12","Y","01","","FA",2012,"O",2012-09-04,2012-12-21,1,15
"ENGL150  SC","Character and the Novel","UG12","Y","01","","FA",2012,"O",2012-09-04,2012-12-21,1,18
"ENGL154  PO","Shakespeare:Comedies & Histories","UG12","Y","01","","FA",2012,"O",2012-09-04,2012-12-21,1,25
"ENGL155  PO","Shakespeare:Tragedies & Romances","UG12","Y","01","","FA",2012,"O",2012-09-04,2012-12-21,1,18
"ENGL156  PO","Milton and Visual Culture","UG12","Y","01","","FA",2012,"O",2012-09-04,2012-12-21,1,25
"ENGL158  PO","Jane Austen","UG12","Y","01","","FA",2012,"O",2012-09-04,2012-12-21,1,35
"ENGL158  SC","Contemporary Irish Culture","UG12","Y","01","","FA",2012,"O",2012-09-04,2012-12-21,1,10
"ENGL161  PO","James Joyce","UG12","Y","01","","FA",2012,"O",2012-09-04,2012-12-21,1,35
"ENGL162  PO","Virginia Woolf","UG12","Y","01","","FA",2012,"O",2012-09-04,2012-12-21,1,20
"ENGL163  PO","T.S. Eliot and Virginia Woolf","UG12","Y","01","","FA",2012,"O",2012-09-04,2012-12-21,1,18
"ENGL165  SC","Contemporary Amer Graphic Novels","UG12","Y","01","","FA",2012,"O",2012-09-04,2012-12-21,1,20
"ENGL168  PO","Writing Machines","UG12","Y","01","Writing Machines","FA",2012,"O",2012-09-04,2012-12-21,1,25
"ENGL169  SC","Contemporary American Fiction","UG12","Y","01","","FA",2012,"O",2012-09-04,2012-12-21,1,15
"ENGL170B PO","Voice, Adaptation, & Authorship","UG12","Y","01","","FA",2012,"O",2012-09-04,2012-12-21,1,15
"ENGL170D PO","The Poet's Letter","UG12","Y","01","","FA",2012,"O",2012-09-04,2012-12-21,1,18
"ENGL170F PO","Chaucer and His World","UG12","Y","01","Poetics of Color for Renaissance","FA",2012,"O",2012-09-04,2012-12-21,1,20
"ENGL170G PO","Shakespeare Seminar","UG12","Y","01","","FA",2012,"O",2012-09-04,2012-12-21,1,15
"ENGL170H PO","Collaborations","UG12","Y","01","","FA",2012,"O",2012-09-04,2012-12-21,1,15
"ENGL170I PO","Tragedy and Philosophy","UG12","Y","01","","FA",2012,"O",2012-09-04,2012-12-21,1,15
"ENGL170J PO","Spec Topics American Literature","UG12","Y","01","Toni Morrison","FA",2012,"O",2012-09-04,2012-12-21,1,18
"ENGL170Q PO","Wordsworth and Proust","UG12","Y","01","","FA",2012,"O",2012-09-04,2012-12-21,1,15
"ENGL170R PO","Reading The Faerie Queene","UG12","Y","01","","FA",2012,"O",2012-09-04,2012-12-21,1,15
"ENGL170S PO","Austen and the Reader","UG12","Y","01","","FA",2012,"O",2012-09-04,2012-12-21,1,18
"ENGL170U PO","Spec Topic Early Mod Lit/Culture","UG12","Y","01","","FA",2012,"O",2012-09-04,2012-12-21,1,25
"ENGL170W PO","Old English Literature","UG12","Y","01","","FA",2012,"O",2012-09-04,2012-12-21,1,18
"ENGL170Y PO","Metaphysical Poets","UG12","Y","01","","FA",2012,"O",2012-09-04,2012-12-21,1,12
"ENGL171  PZ","Sports in Literature and Culture","UG12","Y","01","","FA",2012,"O",2012-09-04,2012-12-21,1,16
"ENGL174  SC","Contemporary Women Writers","UG12","Y","01","","FA",2012,"O",2012-09-04,2012-12-21,1,20
"ENGL175  SC","American Women Poets","UG12","Y","01","","FA",2012,"O",2012-09-04,2012-12-21,1,12
"ENGL183  SC","Asian Amer Lit:Gender+Sexuality","UG12","Y","01","","FA",2012,"O",2012-09-04,2012-12-21,1,20
"ENGL183A PO","Adv Creative Writing: Fiction","UG12","Y","01","","FA",2012,"O",2012-09-04,2012-12-21,1,12
"ENGL183B PO","Adv Creative Writing: Poetry","UG12","Y","01","","FA",2012,"O",2012-09-04,2012-12-21,1,15
"ENGL183C PO","Adv Creative Writ: Screenwrtng","UG12","Y","01","","FA",2012,"O",2012-09-04,2012-12-21,1,15
"ENGL183E PO","Experiments in Creative Nonfic","UG12","Y","01","","FA",2012,"O",2012-09-04,2012-12-21,1,12
"ENGL184  PO","New Poetics","UG12","Y","01","","FA",2012,"O",2012-09-04,2012-12-21,1,18
"ENGL184A CH","Chicano Movement Literature","UG12","Y","01","","FA",2012,"O",2012-09-04,2012-12-21,1,9
"ENGL184D CH","Chicana/o Short Fiction","UG12","Y","01","","FA",2012,"O",2012-09-04,2012-12-21,1,8
"ENGL185M SC","Memoir:Creative Nonfiction Writ","UG12","Y","01","","FA",2012,"O",2012-09-04,2012-12-21,1,9
"ENGL189B PO","Defining Genius of Shakespeare","UG12","Y","01","","FA",2012,"O",2012-09-04,2012-12-21,1,20
"ENGL189H PO","Abraham and Paul","UG12","Y","01","","FA",2012,"O",2012-09-04,2012-12-21,1,15
"ENGL189J PO","Topics in Asian American Lit","UG12","Y","01","","FA",2012,"O",2012-09-04,2012-12-21,1,18
"ENGL190  PO","Senior Exercise/Seminar Option","UG12","Y","01","","FA",2012,"O",2012-09-04,2012-12-21,0,99
"ENGL190  SC","Senior Seminar in English","UG12","Y","01","","FA",2012,"O",2012-09-04,2012-12-21,1,12
"ENGL191  PO","Senior Thesis","UG12","Y","04","","FA",2012,"O",2012-09-04,2012-12-21,0.5,15
"ENGL191  PO","Senior Thesis","UG12","Y","08","","FA",2012,"O",2012-09-04,2012-12-21,0.5,15
"ENGL191  PO","Senior Thesis","UG12","Y","12","","FA",2012,"O",2012-09-04,2012-12-21,0.5,15
"ENGL191  PO","Senior Thesis","UG12","Y","16","","FA",2012,"O",2012-09-04,2012-12-21,0.5,15
"ENGL191  PO","Senior Thesis","UG12","Y","20","","FA",2012,"O",2012-09-04,2012-12-21,0.5,15
"ENGL191  PO","Senior Thesis","UG12","Y","24","","FA",2012,"O",2012-09-04,2012-12-21,0.5,15
"ENGL191  PO","Senior Thesis","UG12","Y","28","","FA",2012,"O",2012-09-04,2012-12-21,0.5,15
"ENGL191  PO","Senior Thesis","UG12","Y","32","","FA",2012,"O",2012-09-04,2012-12-21,0.5,15
"ENGL191  PO","Senior Thesis","UG12","Y","36","","FA",2012,"O",2012-09-04,2012-12-21,0.5,15
"ENGL191  PO","Senior Thesis","UG12","Y","40","","FA",2012,"O",2012-09-04,2012-12-21,0.5,15
"ENGL191  PO","Senior Thesis","UG12","Y","44","","FA",2012,"O",2012-09-04,2012-12-21,0.5,15
"ENGL191  SC","Senior Thesis in English","UG12","Y","01","","FA",2012,"O",2012-09-04,2012-12-21,1,35
"ENGL192  PZ","Literature of Transnationalism","UG12","Y","01","","FA",2012,"O",2012-09-04,2012-12-21,1,15
"ENGL198  SC","Independent Internship","UG12","Y","01","","FA",2012,"O",2012-09-04,2012-12-21,0.5,10
"ENGL199  SC","Independent Study in English","UG12","Y","01","","FA",2012,"O",2012-09-04,2012-12-21,0.5,10
"ENGL199RAPO","English: Research Assistantship","UG12","Y","01","Writing Ctr Journal Submission","FA",2012,"O",2012-09-04,2012-12-21,0.5,15
"ENGR004  HM","Intro Engr Design/Manufacturing","UG12","Y","01","","FA",2012,"O",2012-09-04,2012-12-21,4,24
"ENGR004  HM","Intro Engr Design/Manufacturing","UG12","Y","02","","FA",2012,"O",2012-09-04,2012-12-21,4,24
"ENGR004L HM","Intro Engr Design/Manufact Lab","UG12","Y","01","","FA",2012,"O",2012-09-04,2012-12-21,0,24
"ENGR004L HM","Intro Engr Design/Manufact Lab","UG12","Y","02","","FA",2012,"O",2012-09-04,2012-12-21,0,24
"ENGR011  HM","Autonomous Vehicles","UG12","Y","01","","FA",2012,"O",2012-09-04,2012-12-21,3,10
"ENGR011  HM","Autonomous Vehicles","UG12","Y","02","","FA",2012,"O",2012-09-04,2012-12-21,3,10
"ENGR011  HM","Autonomous Vehicles","UG12","Y","03","","FA",2012,"O",2012-09-04,2012-12-21,3,10
"ENGR011  HM","Autonomous Vehicles","UG12","Y","04","","FA",2012,"O",2012-09-04,2012-12-21,3,10
"ENGR013  HM","Intro to Energy Systems Engr","UG12","Y","01","","FA",2012,"O",2012-09-04,2012-12-21,3,20
"ENGR059  HM","Intro to Engineering Systems","UG12","Y","01","","FA",2012,"O",2012-09-04,2012-12-21,3,28
"ENGR059  HM","Intro to Engineering Systems","UG12","Y","02","","FA",2012,"O",2012-09-04,2012-12-21,3,28
"ENGR059  HM","Intro to Engineering Systems","UG12","Y","03","","FA",2012,"O",2012-09-04,2012-12-21,3,28
"ENGR059  HM","Intro to Engineering Systems","UG12","Y","04","","FA",2012,"O",2012-09-04,2012-12-21,3,28
"ENGR059  HM","Intro to Engineering Systems","UG12","Y","05","","FA",2012,"O",2012-09-04,2012-12-21,3,28
"ENGR059  HM","Intro to Engineering Systems","UG12","Y","06","","FA",2012,"O",2012-09-04,2012-12-21,3,28
"ENGR082  HM","Chemical & Thermal Processes","UG12","Y","01","","FA",2012,"O",2012-09-04,2012-12-21,3,35
"ENGR082  HM","Chemical & Thermal Processes","UG12","Y","02","","FA",2012,"O",2012-09-04,2012-12-21,3,35
"ENGR083  HM","Continuum Mechanics","UG12","Y","01","","FA",2012,"O",2012-09-04,2012-12-21,3,48
"ENGR084  HM","Elec & Magnetic Circuits/Devices","UG12","Y","01","","FA",2012,"O",2012-09-04,2012-12-21,2,48
"ENGR085  HM","Digital Elec & Comp Engineering","UG12","Y","01","","FA",2012,"O",2012-09-04,2012-12-21,3,65
"ENGR091  HM","Intermediate Problems in Enginrg","UG12","Y","01","","FA",2012,"O",2012-09-04,2012-12-21,1,60
"ENGR101  HM","Advanced System Engineering","UG12","Y","01","","FA",2012,"O",2012-09-04,2012-12-21,3,99
"ENGR106  HM","Materials Engineering","UG12","Y","01","","FA",2012,"O",2012-09-04,2012-12-21,3,65
"ENGR111  HM","Engineering Clinic I","UG12","Y","01","","FA",2012,"O",2012-09-04,2012-12-21,3,99
"ENGR112  HM","Engineering Clinic II","UG12","Y","01","","FA",2012,"O",2012-09-04,2012-12-21,3,99
"ENGR115  HM","Project Management","UG12","Y","01","","FA",2012,"O",2012-09-04,2012-12-21,3,30
"ENGR116  HM","Cost Estimation and Modeling","UG12","Y","01","","FA",2012,"O",2012-09-04,2012-12-21,3,30
"ENGR121  HM","Engineering Seminar","UG12","Y","01","","FA",2012,"O",2012-09-04,2012-12-21,0,99
"ENGR123  HM","Engineering Seminar","UG12","Y","01","","FA",2012,"O",2012-09-04,2012-12-21,0,99
"ENGR131  HM","Fluid Mechanics","UG12","Y","01","","FA",2012,"O",2012-09-04,2012-12-21,3,30
"ENGR134  HM","Adv Engineering Thermodynamics","UG12","Y","01","","FA",2012,"O",2012-09-04,2012-12-21,3,30
"ENGR138  HM","Intro to Enviro Engineering","UG12","Y","01","","FA",2012,"O",2012-09-04,2012-12-21,3,30
"ENGR151  HM","Engineering Electronics","UG12","Y","01","","FA",2012,"O",2012-09-04,2012-12-21,3,30
"ENGR153  HM","Electronics Laboratory","UG12","Y","01","","FA",2012,"O",2012-09-04,2012-12-21,1,30
"ENGR155  HM","Microprocessor Sys: Desgn & App","UG12","Y","01","","FA",2012,"O",2012-09-04,2012-12-21,4,21
"ENGR155  HM","Microprocessor Sys: Desgn & App","UG12","Y","02","","FA",2012,"O",2012-09-04,2012-12-21,4,21
"ENGR172  HM","Structural Mechanics","UG12","Y","01","","FA",2012,"O",2012-09-04,2012-12-21,3,30
"ENGR175  HM","Dynamics of Rigid Bodies","UG12","Y","01","","FA",2012,"O",2012-09-04,2012-12-21,3,30
"ENGR190C HM","Special Top: Operations Research","UG12","Y","01","","FA",2012,"O",2012-09-04,2012-12-21,3,4
